id,hotel_name,n_comment,rank_in_country,url
98,"b'Oasia Hotel Downtown, Singapore by Far East Hospitality'",1944,b'#68 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d9872551-Reviews-Oasia_Hotel_Downtown_Singapore_by_Far_East_Hospitality-Singapore.html
99,b'PARKROYAL on Kitchener Road',4933,b'#69 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306183-Reviews-PARKROYAL_on_Kitchener_Road-Singapore.html
100,b'Park Hotel Alexandra',2127,b'#70 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7621450-Reviews-Park_Hotel_Alexandra-Singapore.html
101,b'PARKROYAL on Beach Road',3194,b'#71 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306192-Reviews-PARKROYAL_on_Beach_Road-Singapore.html
102,b'Swissotel Merchant Court Singapore',6248,b'#72 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301577-Reviews-Swissotel_Merchant_Court_Singapore-Singapore.html
103,b'SO Sofitel Singapore',2209,b'#73 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2590427-Reviews-SO_Sofitel_Singapore-Singapore.html
104,b'Carlton Hotel Singapore',4683,b'#74 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306161-Reviews-Carlton_Hotel_Singapore-Singapore.html
105,"b'Le Meridien Singapore, Sentosa'",1653,b'#75 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d547087-Reviews-Le_Meridien_Singapore_Sentosa-Sentosa_Island.html
106,b'Hotel Indigo Singapore Katong',641,b'#76 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d8767815-Reviews-Hotel_Indigo_Singapore_Katong-Singapore.html
107,b'Conrad Centennial Singapore',5284,b'#77 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306166-Reviews-Conrad_Centennial_Singapore-Singapore.html
108,b'Wangz Hotel',1448,b'#78 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1553862-Reviews-Wangz_Hotel-Singapore.html
109,b'The Scarlet Singapore',1875,b'#79 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d503404-Reviews-The_Scarlet_Singapore-Singapore.html
110,b'Hotel Mi',455,b'#80 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12834200-Reviews-Hotel_Mi-Singapore.html
111,b'Park Regis Singapore',4668,b'#81 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1935912-Reviews-Park_Regis_Singapore-Singapore.html
112,b'Ascott Raffles Place Singapore',494,b'#82 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1083872-Reviews-Ascott_Raffles_Place_Singapore-Singapore.html
113,b'Ann Siang House',66,b'#83 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d13406165-Reviews-Ann_Siang_House-Singapore.html
114,b'Grand Park Orchard',2637,b'#84 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d593658-Reviews-Grand_Park_Orchard-Singapore.html
115,b'Aqueen Hotel Paya Lebar',312,b'#85 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d8064827-Reviews-Aqueen_Hotel_Paya_Lebar-Singapore.html
116,b'Ascott Orchard Singapore',301,b'#86 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d11742592-Reviews-Ascott_Orchard_Singapore-Singapore.html
117,b'Sofitel Singapore City Centre',362,b'#87 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12525934-Reviews-Sofitel_Singapore_City_Centre-Singapore.html
118,b'Villa Samadhi Singapore by Samadhi',213,b'#88 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7940674-Reviews-Villa_Samadhi_Singapore_by_Samadhi-Singapore.html
119,b'Hotel Fort Canning',1706,b'#89 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1822389-Reviews-Hotel_Fort_Canning-Singapore.html
120,b'The Fullerton Bay Hotel Singapore',1863,b'#90 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1845693-Reviews-The_Fullerton_Bay_Hotel_Singapore-Singapore.html
121,b'Ramada by Wyndham Singapore at Zhongshan Park',3175,b'#91 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3505884-Reviews-Ramada_by_Wyndham_Singapore_at_Zhongshan_Park-Singapore.html
122,b'Courtyard by Marriott Singapore Novena',315,b'#92 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12554757-Reviews-Courtyard_by_Marriott_Singapore_Novena-Singapore.html
123,b'Hilton Singapore',3319,b'#93 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306197-Reviews-Hilton_Singapore-Singapore.html
124,b'Regent Singapore',2125,b'#94 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301431-Reviews-Regent_Singapore-Singapore.html
125,b'InterContinental Singapore Robertson Quay',472,b'#95 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d11717216-Reviews-InterContinental_Singapore_Robertson_Quay-Singapore.html
126,b'Days Hotel by Wyndham Singapore at Zhongshan Park',2546,b'#96 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3423710-Reviews-Days_Hotel_by_Wyndham_Singapore_at_Zhongshan_Park-Singapore.html
127,b'Sheraton Towers Singapore',1973,b'#97 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301803-Reviews-Sheraton_Towers_Singapore-Singapore.html
128,b'The Outpost Hotel at Sentosa by Far East Hospitality',47,b'#98 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d15743578-Reviews-The_Outpost_Hotel_at_Sentosa_by_Far_East_Hospitality-Sentosa_Island.html
129,b'JW Marriott Hotel Singapore South Beach',1779,b'#99 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7736497-Reviews-JW_Marriott_Hotel_Singapore_South_Beach-Singapore.html
